Date,Department,Tool,UsageHours,PromptEffectiveness,ProductivityBoost
2025-01-05,Marketing,ChatGPT,180,78,40
2025-01-10,Sales,Gemini,140,70,35
2025-01-15,IT,Copilot,160,68,25
2025-02-04,Marketing,ChatGPT,210,80,45
2025-02-12,Sales,Gemini,180,72,30
2025-02-18,IT,Copilot,200,75,28
2025-03-07,Marketing,ChatGPT,260,85,50
2025-03-14,Sales,Gemini,230,77,32
2025-03-20,IT,Copilot,250,80,35
2025-04-03,Marketing,ChatGPT,300,88,52
2025-04-10,Sales,Gemini,270,82,33
2025-04-18,IT,Copilot,310,84,38
2025-05-02,Marketing,ChatGPT,340,90,54
2025-05-09,Sales,Gemini,300,85,36
2025-05-17,IT,Copilot,350,87,42
2025-06-05,Marketing,ChatGPT,400,92,55
2025-06-10,Sales,Gemini,360,88,38
2025-06-20,IT,Copilot,420,90,45
